[----------] Global test environment set-up.
[----------] 2 tests from MathMatrix
[ RUN      ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small
[       OK ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small (1 ms)
[ RUN      ] MathMatrix.cholesky_decompose_small
N: 30 - CPU: 4661
N: 30 - CPU: 4618
N: 30 - CPU: 4630
N: 30 - CPU: 4636
N: 30 - CPU: 4675
N: 30 - CPU: 4610
N: 30 - CPU: 4633
N: 30 - CPU: 4601
N: 30 - CPU: 4596
N: 30 - CPU: 4619
N: 30 - CPU: 4632
N: 30 - CPU: 4664
N: 30 - CPU: 4624
N: 30 - CPU: 4681
N: 30 - CPU: 4625
N: 30 - CPU: 4663
N: 30 - CPU: 4641
N: 30 - CPU: 4643
N: 30 - CPU: 4639
N: 30 - CPU: 4639
N: 30 - CPU: 4643
N: 30 - CPU: 4636
N: 30 - CPU: 4585
N: 30 - CPU: 4633
N: 30 - CPU: 4618
N: 30 - CPU: 4621
N: 30 - CPU: 4647
N: 30 - CPU: 4660
N: 30 - CPU: 4618
N: 30 - CPU: 4687
N: 30 - CPU: 4611
N: 30 - CPU: 4624
N: 30 - CPU: 4605
N: 30 - CPU: 4632
N: 30 - CPU: 4600
N: 30 - CPU: 4642
N: 30 - CPU: 4628
N: 30 - CPU: 4669
N: 50 - CPU: 35272
N: 50 - CPU: 18330
N: 50 - CPU: 17399
N: 50 - CPU: 16967
N: 50 - CPU: 16675
N: 50 - CPU: 16727
N: 50 - CPU: 16615
N: 50 - CPU: 16632
N: 50 - CPU: 16556
N: 50 - CPU: 16443
N: 50 - CPU: 16534
N: 50 - CPU: 16481
N: 50 - CPU: 16502
N: 50 - CPU: 16370
N: 50 - CPU: 16511
N: 50 - CPU: 16456
N: 50 - CPU: 16536
N: 50 - CPU: 16425
N: 50 - CPU: 16410
N: 50 - CPU: 16536
N: 50 - CPU: 16375
N: 50 - CPU: 16437
N: 50 - CPU: 16511
N: 50 - CPU: 16580
N: 50 - CPU: 16427
N: 50 - CPU: 16557
N: 50 - CPU: 16569
N: 50 - CPU: 16466
N: 50 - CPU: 16567
N: 50 - CPU: 16421
N: 50 - CPU: 16528
N: 50 - CPU: 16427
N: 50 - CPU: 16516
N: 50 - CPU: 16481
N: 50 - CPU: 16358
N: 50 - CPU: 16419
N: 50 - CPU: 16493
N: 50 - CPU: 16341
N: 50 - CPU: 16533
N: 50 - CPU: 16449
N: 50 - CPU: 16505
N: 50 - CPU: 16409
N: 50 - CPU: 16403
N: 50 - CPU: 16466
N: 50 - CPU: 16497
N: 50 - CPU: 16438
N: 50 - CPU: 16521
N: 50 - CPU: 16447
N: 50 - CPU: 16448
N: 50 - CPU: 16501
N: 50 - CPU: 16496
N: 50 - CPU: 16443
N: 50 - CPU: 16446
N: 50 - CPU: 16387
N: 50 - CPU: 16437
N: 50 - CPU: 16430
N: 50 - CPU: 16417
N: 50 - CPU: 16326
N: 50 - CPU: 16365
N: 50 - CPU: 16378
N: 50 - CPU: 16417
N: 50 - CPU: 16414
N: 50 - CPU: 16420
N: 50 - CPU: 16415
N: 50 - CPU: 16475
N: 50 - CPU: 16407
N: 50 - CPU: 16363
N: 50 - CPU: 16375
N: 50 - CPU: 16511
N: 50 - CPU: 16566
N: 50 - CPU: 16464
N: 50 - CPU: 16464
N: 50 - CPU: 16348
N: 50 - CPU: 16408
N: 50 - CPU: 16426
N: 50 - CPU: 16441
N: 50 - CPU: 16478
N: 50 - CPU: 16412
N: 50 - CPU: 16471
N: 50 - CPU: 16451
N: 50 - CPU: 16440
N: 50 - CPU: 16364
N: 50 - CPU: 16381
N: 50 - CPU: 16390
N: 50 - CPU: 16411
N: 50 - CPU: 16408
N: 50 - CPU: 16387
N: 50 - CPU: 16325
N: 50 - CPU: 16408
N: 50 - CPU: 16333
N: 50 - CPU: 16419
N: 50 - CPU: 16398
N: 50 - CPU: 16387
N: 50 - CPU: 16394
N: 50 - CPU: 16445
N: 50 - CPU: 16375
N: 50 - CPU: 16410
N: 50 - CPU: 39354
N: 50 - CPU: 16421
N: 50 - CPU: 16423
N: 70 - CPU: 46685
N: 70 - CPU: 37191
N: 70 - CPU: 36447
N: 70 - CPU: 35861
N: 70 - CPU: 35799
N: 70 - CPU: 35665
N: 70 - CPU: 35486
N: 70 - CPU: 35548
N: 70 - CPU: 35419
N: 70 - CPU: 35961
N: 70 - CPU: 35515
N: 70 - CPU: 35353
N: 70 - CPU: 35352
N: 70 - CPU: 35305
N: 70 - CPU: 35338
N: 70 - CPU: 35354
N: 70 - CPU: 35390
N: 70 - CPU: 35386
N: 70 - CPU: 35329
N: 70 - CPU: 35389
N: 70 - CPU: 38847
N: 70 - CPU: 35503
N: 70 - CPU: 35307
N: 70 - CPU: 35221
N: 70 - CPU: 35337
N: 70 - CPU: 35291
N: 70 - CPU: 35351
N: 70 - CPU: 35326
N: 70 - CPU: 35399
N: 70 - CPU: 35422
N: 70 - CPU: 35381
N: 70 - CPU: 35331
N: 70 - CPU: 35251
N: 70 - CPU: 35333
N: 70 - CPU: 35193
N: 70 - CPU: 35356
N: 70 - CPU: 35223
N: 70 - CPU: 35331
N: 70 - CPU: 35293
N: 70 - CPU: 35234
N: 70 - CPU: 35252
N: 70 - CPU: 35242
N: 70 - CPU: 35209
N: 70 - CPU: 35370
N: 70 - CPU: 35414
N: 70 - CPU: 35262
N: 70 - CPU: 35174
N: 70 - CPU: 35206
N: 70 - CPU: 35320
N: 70 - CPU: 35150
N: 70 - CPU: 35198
N: 70 - CPU: 35215
N: 70 - CPU: 35191
N: 70 - CPU: 35201
N: 70 - CPU: 35258
N: 70 - CPU: 35210
N: 70 - CPU: 35170
N: 70 - CPU: 35138
N: 70 - CPU: 35252
N: 70 - CPU: 35239
N: 70 - CPU: 35208
N: 70 - CPU: 35262
N: 70 - CPU: 35379
N: 70 - CPU: 35423
N: 70 - CPU: 35244
N: 70 - CPU: 35484
N: 70 - CPU: 35377
N: 70 - CPU: 35247
N: 70 - CPU: 35356
N: 70 - CPU: 35212
N: 70 - CPU: 35093
N: 70 - CPU: 35287
N: 70 - CPU: 35378
N: 70 - CPU: 35265
N: 70 - CPU: 35186
N: 70 - CPU: 35325
N: 70 - CPU: 35121
N: 70 - CPU: 35283
N: 70 - CPU: 35258
N: 70 - CPU: 35202
N: 70 - CPU: 35154
N: 70 - CPU: 35098
N: 70 - CPU: 35235
N: 70 - CPU: 35180
N: 70 - CPU: 35410
N: 70 - CPU: 35299
N: 70 - CPU: 35286
N: 70 - CPU: 37236
N: 70 - CPU: 35243
N: 70 - CPU: 35160
N: 70 - CPU: 35311
N: 70 - CPU: 35184
N: 70 - CPU: 35136
N: 70 - CPU: 35253
N: 70 - CPU: 35192
N: 70 - CPU: 35217
N: 70 - CPU: 35225
N: 70 - CPU: 35174
N: 70 - CPU: 35089
N: 70 - CPU: 35173
N: 90 - CPU: 84726
N: 90 - CPU: 67571
N: 90 - CPU: 66551
N: 90 - CPU: 66614
N: 90 - CPU: 65817
N: 90 - CPU: 65151
N: 90 - CPU: 64908
N: 90 - CPU: 65019
N: 90 - CPU: 64788
N: 90 - CPU: 64708
N: 90 - CPU: 64656
N: 90 - CPU: 64903
N: 90 - CPU: 64860
N: 90 - CPU: 64854
N: 90 - CPU: 64742
N: 90 - CPU: 64632
N: 90 - CPU: 64846
N: 90 - CPU: 64999
N: 90 - CPU: 64853
N: 90 - CPU: 64839
N: 90 - CPU: 64767
N: 90 - CPU: 64766
N: 90 - CPU: 64893
N: 90 - CPU: 64866
N: 90 - CPU: 64776
N: 90 - CPU: 64730
N: 90 - CPU: 64643
N: 90 - CPU: 64490
N: 90 - CPU: 64614
N: 90 - CPU: 64502
N: 90 - CPU: 64601
N: 90 - CPU: 64932
N: 90 - CPU: 64733
N: 90 - CPU: 64668
N: 90 - CPU: 64604
N: 90 - CPU: 64800
N: 90 - CPU: 64680
N: 90 - CPU: 64639
N: 90 - CPU: 64509
N: 90 - CPU: 64603
N: 90 - CPU: 64623
N: 90 - CPU: 64704
N: 90 - CPU: 64803
N: 90 - CPU: 64810
N: 90 - CPU: 64639
